round_no,draw_date,n1,n2,n3,n4,n5,n6,bonus
1151,2025-10-25,4,11,19,23,34,42,7
1152,2025-11-01,1,8,15,28,33,41,12
1153,2025-11-08,7,13,18,24,36,44,9
1154,2025-11-15,5,14,17,26,31,40,2
1155,2025-11-22,3,12,16,25,37,45,21
1156,2025-11-29,6,10,20,27,32,39,15
1157,2025-12-06,2,9,18,22,35,43,11
1158,2025-12-13,4,14,21,29,34,40,6
1159,2025-12-20,1,7,17,24,33,42,10
1160,2025-12-27,5,12,19,28,36,44,3
1161,2026-01-03,8,13,20,27,31,41,16
1162,2026-01-10,2,11,15,23,35,45,18
1163,2026-01-17,6,10,16,25,32,39,14
1164,2026-01-24,3,9,18,26,34,43,20
1165,2026-01-31,4,12,21,29,37,40,5
1166,2026-02-07,1,14,17,24,33,42,22
1167,2026-02-14,7,13,19,28,36,44,8
1168,2026-02-21,5,11,20,27,31,41,2
1169,2026-02-28,2,10,15,23,35,45,17
1170,2026-03-07,6,9,18,26,34,43,12
